1,3.53,3,-266700000,-43700000
2,3.53,0.6,-266700000,-43700000
3,3.53,2.95,-266700000,-43700000
4,3.53,2.9,-266700000,-43700000
5,3.53,2.85,-266700000,-43700000
6,3.53,2.8,-266700000,-43700000
7,3.53,2.75,-266700000,-43700000
8,3.53,2.7,-266700000,-43700000
9,3.53,2.65,-266700000,-43700000
10,3.53,2.6,-266700000,-43700000
11,3.53,2.55,-266700000,-43700000
12,3.53,2.5,-266700000,-43700000
13,3.53,2.45,-266700000,-43700000
14,3.53,2.4,-266700000,-43700000
15,3.53,2.35,-266700000,-43700000
16,3.53,2.3,-266700000,-43700000
17,3.53,2.25,-266700000,-43700000
18,3.53,2.2,-266700000,-43700000
19,3.53,2.15,-266700000,-43700000
20,3.53,2.1,-266700000,-43700000
21,3.53,2.05,-266700000,-43700000
22,3.53,2,-266700000,-43700000
23,3.53,1.95,-266700000,-43700000
24,3.53,1.9,-266700000,-43700000
25,3.53,1.85,-266700000,-43700000
26,3.53,1.8,-266700000,-43700000
27,3.53,1.75,-266700000,-43700000
28,3.53,1.7,-266700000,-43700000
29,3.53,1.65,-266700000,-43700000
30,3.53,1.6,-266700000,-43700000
31,3.53,1.55,-266700000,-43700000
32,3.53,1.5,-266700000,-43700000
33,3.53,1.45,-266700000,-43700000
34,3.53,1.4,-266700000,-43700000
35,3.53,1.35,-266700000,-43700000
36,3.53,1.3,-266700000,-43700000
37,3.53,1.25,-266700000,-43700000
38,3.53,1.2,-266700000,-43700000
39,3.53,1.15,-266700000,-43700000
40,3.53,1.1,-266700000,-43700000
41,3.53,1.05,-266700000,-43700000
42,3.53,1,-266700000,-43700000
43,3.53,0.95,-266700000,-43700000
44,3.53,0.9,-266700000,-43700000
45,3.53,0.85,-266700000,-43700000
46,3.53,0.8,-266700000,-43700000
47,3.53,0.75,-266700000,-43700000
48,3.53,0.7,-266700000,-43700000
49,3.53,0.65,-266700000,-43700000
50,2.93,3,-266700000,-43700000
51,3.48,3,-266700000,-43700000
52,3.43,3,-266700000,-43700000
53,3.38,3,-266700000,-43700000
54,3.33,3,-266700000,-43700000
55,3.28,3,-266700000,-43700000
56,3.23,3,-266700000,-43700000
57,3.18,3,-266700000,-43700000
58,3.13,3,-266700000,-43700000
59,3.08,3,-266700000,-43700000
60,3.03,3,-266700000,-43700000
61,2.98,3,-266700000,-43700000
62,2.93,0,-266700000,-43700000
63,2.93,0.05,-266700000,-43700000
64,2.93,0.1,-266700000,-43700000
65,2.93,0.15,-266700000,-43700000
66,2.93,0.2,-266700000,-43700000
67,2.93,0.25,-266700000,-43700000
68,2.93,0.3,-266700000,-43700000
69,2.93,0.35,-266700000,-43700000
70,2.93,0.4,-266700000,-43700000
71,2.93,0.45,-266700000,-43700000
72,2.93,0.5,-266700000,-43700000
